wavelength_nm,intensity_au
3.707462312550231331e+02,-3.112057027923183727e-04
3.708556897004419284e+02,-7.874130869308529693e-04
3.709651555591651118e+02,-1.539319482939065405e-03
3.710746288283669969e+02,-1.163366284934959187e-03
3.711841095052218407e+02,-5.869047146619963198e-04
3.712935975869039567e+02,3.968394867818082484e-05
3.714030930705875448e+02,2.652558674806446029e-04
3.715125959534469757e+02,3.655100536150729276e-04
3.716221062326563924e+02,-8.626037265316742128e-04
3.717316239053901654e+02,4.657642397495012523e-04
3.718411489688225515e+02,-1.138302738401352106e-03
3.719506814201278075e+02,6.412090654847508748e-04
3.720602212564801903e+02,-6.057023745624751343e-05
3.721697684750540702e+02,-5.869047146619963198e-04
3.722793230730235337e+02,1.462040214457373858e-05
3.723888850475630647e+02,-4.866505285275679409e-04
3.724984543958467498e+02,2.652558674806446029e-04
3.726080311150490161e+02,1.042225810022464174e-03
3.727176152023440636e+02,8.417174377536075242e-04
3.728272066549061492e+02,9.419716238880358489e-04
3.729368054699095865e+02,-3.112057027923183727e-04
3.730464116445285754e+02,-1.357608770570687773e-04
3.731560251759375433e+02,-3.112057027923183727e-04
3.732656460613105764e+02,-5.618411681283892387e-04
3.733752742978220454e+02,-3.863963423931396162e-04
3.734849098826462637e+02,9.419716238880358489e-04
3.735945528129574313e+02,1.900652278798233322e-04
3.737042030859298052e+02,6.913361585519650371e-04
3.738138606987377557e+02,-9.628579126661025375e-04
3.739235256485554828e+02,-8.876672730652812940e-04
3.740331979325572433e+02,-2.541861344283349085e-03
3.741428775479173510e+02,7.414632516191791995e-04
3.742525644918100625e+02,1.650016813462162511e-04
3.743622587614096915e+02,1.462040214457373858e-05
3.744719603538904380e+02,-1.338811110670208755e-03
3.745816692664266156e+02,8.417174377536075242e-04
3.746913854961925381e+02,8.166538912200004430e-04
3.748011090403624053e+02,-8.876672730652812940e-04
3.749108398961105308e+02,1.399381348126091699e-04
3.750205780606111716e+02,6.474749521178791280e-05
3.751303235310385844e+02,-7.623495403972458881e-04
3.752400763045670828e+02,1.142479996156892498e-03
3.753498363783709237e+02,-3.550669092264043225e-05
3.754596037496243639e+02,-9.879214591997096187e-04
3.755693784155017170e+02,9.670351704216429301e-04
3.756791603731772398e+02,4.657642397495012523e-04
3.757889496198251891e+02,-1.639573669073493946e-03
3.758987461526197649e+02,-2.861421562587112915e-04
3.760085499687353945e+02,-7.874130869308529693e-04
3.761183610653462779e+02,-8.626037265316742128e-04
3.762281794396266719e+02,-2.109515166578900208e-04
3.763380050887508901e+02,7.414632516191791995e-04
3.764478380098931325e+02,-2.541861344283349085e-03
3.765576782002277128e+02,-3.613327958595325350e-04
3.766675256569289445e+02,-1.858879701242829397e-04
3.767773803771710845e+02,-1.608244235906758585e-04
3.768872423581283329e+02,-3.550669092264043225e-05
3.769971115969750599e+02,-1.044314438903334599e-05
3.771069880908854657e+02,2.195148950568390125e-03
3.772168718370338638e+02,1.017162263488857092e-03
3.773267628325945680e+02,6.474749521178791280e-05
3.774366610747417212e+02,-1.514255936405458323e-03
3.775465665606497510e+02,-9.628579126661025375e-04
3.776564792874928003e+02,-2.861421562587112915e-04
3.777663992524451828e+02,1.267797728824927904e-03
3.778763264526812122e+02,9.670351704216429301e-04
3.779862608853751453e+02,-1.363874657203815836e-03
3.780962025477012389e+02,-2.861421562587112915e-04
3.782061514368338067e+02,-1.188429831468566268e-03
3.783161075499469916e+02,-1.106973305234616826e-04
3.784260708842152781e+02,-3.362692493259254538e-04
3.785360414368127522e+02,3.655100536150729276e-04
3.786460192049137277e+02,3.655100536150729276e-04
3.787560041856925750e+02,1.067289356556071255e-03
3.788659963763234941e+02,-3.112057027923183727e-04
3.789759957739807419e+02,1.393115461492963310e-03
3.790860023758385751e+02,1.148745882790020752e-04
3.791960161790713641e+02,8.166538912200004430e-04
3.793060371808533091e+02,2.652558674806446029e-04
3.794160653783587236e+02,6.474749521178791280e-05
3.795261007687618076e+02,-6.370318077292104822e-04
3.796361433492369315e+02,-5.117140750611750763e-04
3.797461931169582385e+02,-7.122224473300317257e-04
3.798562500691001560e+02,2.903194140142516841e-04
3.799663142028368270e+02,3.905736001486800088e-04
3.800763855153426221e+02,-8.124766334644600504e-04
3.801864640037917411e+02,4.908277862831083877e-04
3.802965496653584978e+02,-8.626037265316742128e-04
3.804066424972171490e+02,8.667809842872146054e-04
3.805167424965420082e+02,8.981104174539499398e-05
3.806268496605072755e+02,6.161455189511437936e-04
3.807369639862872646e+02,2.652558674806446029e-04
3.808470854710562890e+02,1.067289356556071255e-03
3.809572141119885487e+02,-2.610786097251042103e-04
3.810673499062583574e+02,5.158913328167154689e-04
3.811774928510399150e+02,1.342988368425749148e-03
